text,dominant_distortion,secondary_distortion
"I feel angry, so you are attacking me.",Emotional Reasoning,
"I finished the task, but it was easy, so it doesn't count, and my effort was minuscule.",Disqualifying the Positive,Magnification or Minimization
"She said I'm smart, but she's just being nice, and her opinion is worthless.",Disqualifying the Positive,Magnification or Minimization
The wifi broke; I did it.,Personalization,
"He looks bored; I'm boring him, and he hates me.",Personalization,Jumping to Conclusions
"If I go, nobody will talk to me, and I'm a loner.",Jumping to Conclusions,Labeling
I'm confused by the instructions on this tax form.,No Distortion,
My diet is completely ruined because I ate one cookie.,All-or-Nothing Thinking,
I feel insecure about my presentation skills.,No Distortion,
I should have seen that coming.,Should Statements,
"She rejected me, so nobody wants me, and I ought to be more attractive.",Overgeneralization,Should Statements
"I got an A, but the class was simple, so I'm not a real student.",Disqualifying the Positive,All-or-Nothing Thinking
I'm ticked off that the repairman overcharged me.,No Distortion,
"Every time I wash the car, birds poop on it.",Overgeneralization,
"I feel lonely, so nobody loves me, and I'm destined to be solitary.",Emotional Reasoning,Jumping to Conclusions
I tripped; I'm a klutz.,Magnification or Minimization,
I am outraged that they raised the rent without fixing the heater.,No Distortion,
I forgot the keys; I'm totally incompetent.,Magnification or Minimization,
"I passed the test, but I missed one point, so I'm stupid, because I feel so inadequate.",Mental Filter,Emotional Reasoning
I ought to be married by now.,Should Statements,
"People should be on time; if they aren't, they don't respect me at all.",Should Statements,All-or-Nothing Thinking
The boss is quiet; he's planning to fire me.,Jumping to Conclusions,
"I missed one shot, so the whole game was a disaster, and I ignored all my good plays.",All-or-Nothing Thinking,Mental Filter
My parents fight because of me.,Personalization,
I missed one rehearsal; the play is going to be a disaster.,All-or-Nothing Thinking,
"They are laughing; it's about me, and I'm a joke.",Jumping to Conclusions,Labeling
"This line is torture, and they should open another register.",Magnification or Minimization,Should Statements
I should be married by now.,Should Statements,
"We had a nice hike, but I got a blister, so the day was ruined.",Mental Filter,
I was five minutes late; I have destroyed my reputation.,Magnification or Minimization,All-or-Nothing Thinking
"They hired him, so I never get picked, and I'll be unemployed forever.",Overgeneralization,Jumping to Conclusions
"I feel stupid, so I am dumb.",Emotional Reasoning,
"I finished the race, but my time was slow.",Disqualifying the Positive,
"I am a fraud, because I guessed the answer, ignoring my knowledge.",Labeling,Mental Filter
"My day was good, but I hit traffic, so it was a waste, and I'm going to be late for everything.",Mental Filter,Jumping to Conclusions
"I won the lottery, but it was just a fluke.",Disqualifying the Positive,
"They clapped, but they pitied me, because I felt so pathetic on stage.",Disqualifying the Positive,Emotional Reasoning
"I feel a twinge of jealousy seeing their new house, though I'm happy for them.",No Distortion,
"I fixed the sink, but I needed a manual, so I'm incompetent, because I feel so useless.",Disqualifying the Positive,Emotional Reasoning
"I ought to be rich, and since I'm not, I'll never retire.",Should Statements,Jumping to Conclusions
"I should have known, and since I didn't, I'm stupid.",Should Statements,Labeling
"The presentation had a typo, so the whole thing was garbage.",All-or-Nothing Thinking,
"It rained today, so it always rains on my days off, and the universe hates me.",Overgeneralization,Magnification or Minimization
"I feel ugly, so I am hideous, and I ought to look better.",Emotional Reasoning,Should Statements
"I feel guilty, so I am bad, and I'm focused only on my regret.",Emotional Reasoning,Mental Filter
"I made a typo; I'm unprofessional, and I always make careless mistakes.",Magnification or Minimization,Overgeneralization
"I feel guilty, so I must have done something wrong.",Emotional Reasoning,
"My son failed; it's my fault, and I'm a terrible parent.",Personalization,Labeling
"If I don't get a perfect score, I'm a failure, even though I got an A minus.",All-or-Nothing Thinking,Disqualifying the Positive
"I feel lonely, so nobody loves me, and I'll always be alone.",Emotional Reasoning,Overgeneralization
I ought to own a house by now.,Should Statements,
"If I'm not the best, I'm the worst, and I'm bringing the team down.",All-or-Nothing Thinking,Personalization
She didn't text back; people are always ignoring me.,Overgeneralization,
I must always agree.,Should Statements,
"He hasn't called, so he hates me, and he should call me back.",Jumping to Conclusions,Should Statements
I'll never find love.,Jumping to Conclusions,
"I finished the task, but it was easy, so it doesn't count, and I'm wasting the company's money.",Disqualifying the Positive,Personalization
"The dinner burned; I ruin everything, and this is a catastrophe.",Personalization,Magnification or Minimization
I have a scar on my knee; I'm disfigured.,Magnification or Minimization,
"I won the game, but it was just luck, and I'm a fraud.",Disqualifying the Positive,Labeling
"I feel hopeless, so it's over, and my situation is a tragedy.",Emotional Reasoning,Magnification or Minimization
"I see a scratch, so the car is junk, and it's a total write-off.",Mental Filter,Magnification or Minimization
"The world should be fair, because I feel so angry about this injustice.",Should Statements,Emotional Reasoning
I feel sad thinking about how much my children have grown up already.,No Distortion,
I'll never find a job in this market.,Jumping to Conclusions,
"I have a pimple; I look like a monster, and I'm embarrassing to be seen with.",Magnification or Minimization,Personalization
"I feel envious of her natural talent for singing, though I know she practices.",No Distortion,
I just know I'm going to trip and fall at the wedding.,Jumping to Conclusions,
The deal died; I killed it.,Personalization,
I should not be angry.,Should Statements,
"He frowned, so he's angry, and him hugging me means nothing.",Jumping to Conclusions,Disqualifying the Positive
"I am a coward, because I was scared once, ignoring my bravery.",Labeling,Mental Filter
I feel wary about signing this contract without a lawyer.,No Distortion,
"If she doesn't call back immediately, she hates me, and everyone always abandons me.",All-or-Nothing Thinking,Overgeneralization
"I must never mess up, and fixing the mistake doesn't make it go away.",Should Statements,Disqualifying the Positive
The cake fell; I failed as a baker.,Personalization,
"I feel ugly, so no one finds me attractive.",Emotional Reasoning,
I burned the cookies; I ruin everything I bake.,Overgeneralization,
"You either love me or hate me, and I feel like you hate me right now, so it must be true.",All-or-Nothing Thinking,Emotional Reasoning
I didn't get the job; I'll never be hired anywhere.,Overgeneralization,
"I see a scratch on the floor, so the renovation is a disaster.",Mental Filter,
"I feel rejected, so I'm an outcast, and I'm completely alone in the world.",Emotional Reasoning,Magnification or Minimization
"I feel guilty, so I must be guilty.",Emotional Reasoning,
I am a coward.,Labeling,
"I got the promotion, but it's just a title change.",Disqualifying the Positive,
"The party was fun, but I felt awkward, so the night was ruined, and I'm a social weirdo.",Mental Filter,Labeling
I stumbled; I'm the clumsiest person on earth.,Magnification or Minimization,
I regret not visiting my grandmother more often before she passed.,No Distortion,
I feel self-conscious about the scar on my arm.,No Distortion,
The deal collapsed; I must have messed up.,Personalization,
"My painting sold, but the buyer has bad taste.",Disqualifying the Positive,
"I didn't finish the last chapter, so reading the book was a waste.",All-or-Nothing Thinking,
"I am an idiot, and I should know better.",Labeling,Should Statements
I know I'm going to stutter and embarrass myself.,Jumping to Conclusions,
"The presentation wasn't perfect, so it was a disaster, and I always choke under pressure.",All-or-Nothing Thinking,Overgeneralization
"The world should be fair, and since it's not, it's evil, and justice ought to prevail.",Should Statements,All-or-Nothing Thinking
I should have won that game.,Should Statements,
"I feel angry, so you are wrong.",Emotional Reasoning,
"I got a ticket, so I'm always in trouble, and I'm raising our insurance rates.",Overgeneralization,Personalization
"I feel overwhelmed, so the task is impossible, and everything is always too hard for me.",Emotional Reasoning,Overgeneralization
"I see a scratch on the table, so the furniture is ruined.",Mental Filter,
"All men are liars, so I will never have a trusting relationship.",Overgeneralization,All-or-Nothing Thinking
The dinner burned; I ruin everything.,Personalization,
"I feel bored, so life is dull, and nothing exciting will ever happen to me.",Emotional Reasoning,Jumping to Conclusions
The dinner burned; I ruin everything I touch.,Personalization,All-or-Nothing Thinking
"Unless everyone loves my art, I am talentless.",All-or-Nothing Thinking,
"The boss wants to see me, so I'm getting fired and I'll be homeless.",Jumping to Conclusions,All-or-Nothing Thinking
"I feel stung by his harsh words, even if he didn't mean them.",No Distortion,
I spilled soup; I am a disaster.,Magnification or Minimization,
"The project failed; I take full responsibility, and I'm incompetent.",Personalization,Labeling
"I should be thinner, because I feel fat and unattractive.",Should Statements,Emotional Reasoning
